Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,2485.49,2512.51,2463.99,2490.94,3459251,HINDUNILVR.NS,8616793781.03
2023-10-20,2544.91,2554.14,2541.5,2546.63,2873343,HINDUNILVR.NS,7317332733.87
2023-10-23,2535.94,2556.38,2527.93,2527.93,2509092,HINDUNILVR.NS,6342800962.34
2023-10-24,2541.24,2583.56,2531.41,2546.96,4480904,HINDUNILVR.NS,11412704777.77
2023-10-25,2547.51,2564.14,2536.86,2536.86,3951178,HINDUNILVR.NS,10023576187.08
2023-10-26,2547.55,2554.06,2530.03,2554.06,2832969,HINDUNILVR.NS,7235577700.13
2023-10-27,2534.54,2550.5,2521.89,2533.59,1118554,HINDUNILVR.NS,2833953388.69
2023-10-30,2561.65,2564.3,2547.57,2547.57,4622214,HINDUNILVR.NS,11775406659.61
2023-10-31,2541.17,2556.1,2532.24,2535.44,1949692,HINDUNILVR.NS,4943330037.47
2023-11-01,2540.41,2542.17,2535.15,2535.15,2934780,HINDUNILVR.NS,7440112866.91
2023-11-02,2521.0,2537.51,2507.98,2510.65,2299638,HINDUNILVR.NS,5773593834.86
2023-11-03,2526.07,2537.03,2511.76,2511.76,3083085,HINDUNILVR.NS,7743958313.08
2023-11-06,2484.05,2504.36,2476.48,2484.78,1535148,HINDUNILVR.NS,3814507693.26
2023-11-07,2468.8,2476.77,2466.57,2472.56,5044436,HINDUNILVR.NS,12472679999.2
2023-11-08,2511.88,2551.56,2498.26,2506.17,2053458,HINDUNILVR.NS,5146319103.14
2023-11-09,2497.69,2514.39,2482.32,2501.45,2431932,HINDUNILVR.NS,6083358176.4
2023-11-10,2537.07,2557.62,2513.25,2542.38,2684238,HINDUNILVR.NS,6824357872.81
2023-11-13,2518.9,2524.58,2497.46,2504.71,1901114,HINDUNILVR.NS,4761733215.92
2023-11-14,2546.32,2558.21,2536.88,2542.99,5370157,HINDUNILVR.NS,13656265433.09
2023-11-15,2524.26,2555.47,2511.26,2511.26,4347743,HINDUNILVR.NS,10918295006.95
2023-11-16,2482.04,2488.12,2473.67,2473.67,1189624,HINDUNILVR.NS,2942741569.04
2023-11-17,2505.31,2524.22,2500.94,2509.64,3850283,HINDUNILVR.NS,9662822128.05
2023-11-20,2493.44,2526.63,2489.12,2503.27,2671046,HINDUNILVR.NS,6686351832.59
2023-11-21,2494.08,2504.91,2487.12,2497.43,3647692,HINDUNILVR.NS,9109839581.97
2023-11-22,2528.89,2542.28,2514.63,2542.28,3994726,HINDUNILVR.NS,10155707664.77
2023-11-23,2571.63,2575.54,2564.19,2564.19,1341237,HINDUNILVR.NS,3439185424.78
2023-11-24,2573.26,2578.63,2570.15,2578.23,4617381,HINDUNILVR.NS,11904661555.78
2023-11-27,2546.81,2550.79,2543.29,2543.29,4510734,HINDUNILVR.NS,11472115410.88
2023-11-28,2534.91,2543.21,2528.1,2528.1,1478137,HINDUNILVR.NS,3736876896.07
2023-11-29,2498.08,2529.47,2486.0,2486.0,4292359,HINDUNILVR.NS,10670793165.27
2023-11-30,2513.07,2524.43,2467.98,2524.43,3385266,HINDUNILVR.NS,8545858457.86
2023-12-01,2458.78,2461.69,2448.45,2448.75,4066473,HINDUNILVR.NS,9957784038.45
2023-12-04,2466.19,2477.94,2457.02,2459.38,4825719,HINDUNILVR.NS,11868280681.74
2023-12-05,2499.04,2508.95,2490.97,2490.97,2161541,HINDUNILVR.NS,5384335557.15
2023-12-06,2477.84,2492.15,2455.99,2480.73,2100322,HINDUNILVR.NS,5210322941.19
2023-12-07,2517.97,2532.11,2507.91,2510.1,1333566,HINDUNILVR.NS,3347387456.67
2023-12-08,2496.6,2498.93,2495.72,2498.93,2480611,HINDUNILVR.NS,6198880286.96
2023-12-11,2509.61,2522.19,2497.91,2506.1,4095797,HINDUNILVR.NS,10264470243.73
2023-12-12,2519.89,2551.75,2518.33,2523.39,4850782,HINDUNILVR.NS,12240396977.55
2023-12-13,2527.19,2550.31,2518.49,2518.49,3253467,HINDUNILVR.NS,8193813165.56
2023-12-14,2539.66,2547.96,2527.49,2532.52,2164918,HINDUNILVR.NS,5482704830.83
2023-12-15,2579.68,2594.46,2576.57,2592.99,2445975,HINDUNILVR.NS,6342391089.11
2023-12-18,2630.93,2636.68,2621.18,2625.39,1865704,HINDUNILVR.NS,4898204053.69
2023-12-19,2575.2,2575.46,2557.05,2563.13,1549362,HINDUNILVR.NS,3971213534.29
2023-12-20,2622.33,2647.01,2606.58,2606.58,3045892,HINDUNILVR.NS,7939347669.99
2023-12-21,2599.48,2612.21,2578.03,2606.67,2997798,HINDUNILVR.NS,7814273885.0
2023-12-22,2636.65,2650.99,2602.45,2645.87,4657783,HINDUNILVR.NS,12323900684.47
2023-12-25,2669.15,2682.11,2658.96,2662.46,3908407,HINDUNILVR.NS,10405974047.97
2023-12-26,2623.06,2637.79,2614.32,2632.19,5311280,HINDUNILVR.NS,13980293128.47
2023-12-27,2605.22,2616.68,2585.83,2590.95,1498332,HINDUNILVR.NS,3882106479.68
2023-12-28,2678.93,2713.27,2663.75,2667.36,3642274,HINDUNILVR.NS,9715270754.69
2023-12-29,2695.32,2696.85,2682.7,2689.57,2408196,HINDUNILVR.NS,6477004211.02
2024-01-01,2710.54,2711.48,2705.06,2711.04,1721605,HINDUNILVR.NS,4667332285.8
2024-01-02,2744.82,2771.14,2715.53,2750.3,3514139,HINDUNILVR.NS,9664931490.33
2024-01-03,2717.85,2734.24,2708.85,2717.16,3196928,HINDUNILVR.NS,8686560755.34
2024-01-04,2725.75,2744.34,2712.78,2717.84,3286382,HINDUNILVR.NS,8931871965.55
2024-01-05,2720.86,2735.62,2711.14,2726.0,2828068,HINDUNILVR.NS,7709313461.69
2024-01-08,2716.68,2720.48,2697.22,2718.78,2145506,HINDUNILVR.NS,5833160734.32
2024-01-09,2750.3,2765.58,2742.94,2765.58,4981297,HINDUNILVR.NS,13776169290.31
2024-01-10,2724.09,2742.51,2701.24,2719.3,3671193,HINDUNILVR.NS,9983068969.9
2024-01-11,2663.32,2676.35,2659.02,2668.77,5605560,HINDUNILVR.NS,14959942556.93
2024-01-12,2723.42,2727.11,2708.8,2708.8,3495835,HINDUNILVR.NS,9469534413.62
2024-01-15,2698.4,2711.55,2697.13,2700.46,5020459,HINDUNILVR.NS,13557560790.4
2024-01-16,2736.67,2756.43,2716.8,2734.36,1159817,HINDUNILVR.NS,3171352447.26
2024-01-17,2747.92,2756.59,2735.21,2735.21,2565052,HINDUNILVR.NS,7015959342.61
2024-01-18,2745.36,2760.31,2726.07,2739.37,1275212,HINDUNILVR.NS,3493273776.19
2024-01-19,2694.96,2701.07,2689.8,2696.81,1538953,HINDUNILVR.NS,4150257166.2
2024-01-22,2701.66,2711.43,2687.19,2711.43,2844596,HINDUNILVR.NS,7712921370.06
2024-01-23,2619.93,2626.29,2608.17,2608.17,1588167,HINDUNILVR.NS,4142208545.93
2024-01-24,2621.08,2639.26,2614.75,2622.91,4541109,HINDUNILVR.NS,11910916298.94
2024-01-25,2628.96,2635.75,2615.49,2622.16,2621649,HINDUNILVR.NS,6874389071.21
2024-01-26,2628.33,2657.01,2595.81,2635.39,4192941,HINDUNILVR.NS,11050021612.61
2024-01-29,2643.66,2654.77,2632.8,2633.69,4995475,HINDUNILVR.NS,13156556560.81
2024-01-30,2634.49,2635.19,2628.45,2635.0,2990965,HINDUNILVR.NS,7881189430.36
2024-01-31,2663.26,2675.63,2655.36,2655.36,2023512,HINDUNILVR.NS,5373153462.43
2024-02-01,2640.91,2657.24,2631.94,2639.15,1841861,HINDUNILVR.NS,4860944889.04
2024-02-02,2657.53,2692.76,2649.34,2665.36,4529993,HINDUNILVR.NS,12074067347.93
2024-02-05,2676.24,2699.5,2673.11,2674.31,3907719,HINDUNILVR.NS,10450458494.82
2024-02-06,2669.91,2678.03,2647.58,2678.03,1068232,HINDUNILVR.NS,2860760359.45
2024-02-07,2668.62,2677.33,2655.5,2655.5,4640298,HINDUNILVR.NS,12322319194.72
2024-02-08,2628.27,2629.64,2610.85,2627.35,3908266,HINDUNILVR.NS,10268396422.83
2024-02-09,2649.26,2663.91,2641.29,2655.17,4608011,HINDUNILVR.NS,12235072599.14
2024-02-12,2639.92,2642.73,2618.86,2626.85,3921369,HINDUNILVR.NS,10300855660.85
2024-02-13,2637.9,2649.55,2614.15,2649.55,1578168,HINDUNILVR.NS,4181432772.88
2024-02-14,2652.22,2659.24,2624.04,2651.95,2069475,HINDUNILVR.NS,5488135538.5
2024-02-15,2698.66,2701.8,2688.04,2696.39,2348174,HINDUNILVR.NS,6331589871.48
2024-02-16,2695.15,2698.26,2684.86,2686.89,2933317,HINDUNILVR.NS,7881501139.36
2024-02-19,2662.95,2681.27,2653.37,2659.22,1471765,HINDUNILVR.NS,3913744315.84
2024-02-20,2679.38,2699.91,2663.95,2672.68,2459603,HINDUNILVR.NS,6573735904.73
2024-02-21,2708.47,2720.22,2708.15,2715.06,1275312,HINDUNILVR.NS,3462546258.11
2024-02-22,2681.51,2703.2,2673.79,2675.0,2835395,HINDUNILVR.NS,7584673588.36
2024-02-23,2678.56,2693.14,2654.91,2686.94,4971172,HINDUNILVR.NS,13357216846.04
2024-02-26,2653.88,2670.42,2645.63,2662.71,4050398,HINDUNILVR.NS,10785018241.4
2024-02-27,2696.53,2699.4,2694.89,2699.4,3720651,HINDUNILVR.NS,10043533002.25
2024-02-28,2659.25,2659.52,2649.8,2649.8,1869916,HINDUNILVR.NS,4954902941.26
2024-02-29,2716.52,2736.37,2698.13,2719.83,1329652,HINDUNILVR.NS,3616421327.63
2024-03-01,2708.22,2715.5,2700.76,2700.76,2819916,HINDUNILVR.NS,7615922641.93
2024-03-04,2692.36,2708.33,2669.58,2689.09,5073274,HINDUNILVR.NS,13642482775.43
2024-03-05,2709.18,2715.91,2689.98,2696.8,2365556,HINDUNILVR.NS,6379442524.52
2024-03-06,2699.21,2721.05,2691.51,2712.59,4759399,HINDUNILVR.NS,12910305207.74
2024-03-07,2697.1,2703.04,2695.19,2703.04,2669406,HINDUNILVR.NS,7215499651.06
2024-03-08,2706.32,2715.22,2692.21,2710.62,4922823,HINDUNILVR.NS,13343903489.33
2024-03-11,2700.66,2716.71,2690.3,2700.65,1635386,HINDUNILVR.NS,4416598642.84
2024-03-12,2754.51,2764.61,2732.72,2759.07,2349150,HINDUNILVR.NS,6481477978.31
2024-03-13,2749.36,2759.47,2748.58,2750.32,2042447,HINDUNILVR.NS,5617379807.98
2024-03-14,2789.24,2808.15,2779.41,2783.24,1753338,HINDUNILVR.NS,4879968365.65
2024-03-15,2869.81,2891.58,2864.85,2891.58,3255925,HINDUNILVR.NS,9414772015.68
2024-03-18,2861.17,2861.66,2850.72,2850.72,4227052,HINDUNILVR.NS,12050126536.54
2024-03-19,2856.88,2865.81,2843.44,2854.88,1328375,HINDUNILVR.NS,3792345293.7
2024-03-20,2863.1,2864.79,2852.31,2852.31,2268698,HINDUNILVR.NS,6471034725.45
2024-03-21,2817.56,2828.98,2814.94,2814.94,1628475,HINDUNILVR.NS,4584063040.87
2024-03-22,2814.61,2832.59,2796.64,2811.28,3287329,HINDUNILVR.NS,9241596538.37
2024-03-25,2864.47,2872.09,2859.29,2859.29,1995273,HINDUNILVR.NS,5705058903.93
2024-03-26,2883.46,2895.56,2870.05,2888.15,4614580,HINDUNILVR.NS,13327594997.09
2024-03-27,2906.5,2910.1,2892.25,2905.27,4209253,HINDUNILVR.NS,12229003170.36
2024-03-28,2880.01,2883.67,2853.18,2853.18,1658873,HINDUNILVR.NS,4733057019.98
2024-03-29,2902.23,2921.52,2878.73,2898.72,1201247,HINDUNILVR.NS,3482079674.42
2024-04-01,2807.22,2808.18,2795.06,2802.41,5344615,HINDUNILVR.NS,14977813706.42
2024-04-02,2768.58,2777.62,2750.96,2765.92,4047866,HINDUNILVR.NS,11196065903.89
2024-04-03,2733.16,2751.0,2718.98,2751.0,5072082,HINDUNILVR.NS,13953306978.59
2024-04-04,2734.96,2743.47,2729.9,2737.47,1468788,HINDUNILVR.NS,4020757076.97
2024-04-05,2760.93,2785.35,2753.35,2753.35,4673941,HINDUNILVR.NS,12869016871.27
2024-04-08,2788.48,2816.06,2774.58,2791.86,2813036,HINDUNILVR.NS,7853605762.81
2024-04-09,2782.59,2792.02,2773.12,2792.02,3981254,HINDUNILVR.NS,11115749458.01
2024-04-10,2802.62,2821.93,2793.01,2810.69,1875009,HINDUNILVR.NS,5270067157.47
2024-04-11,2747.69,2755.04,2731.16,2747.8,2134925,HINDUNILVR.NS,5866349515.08
2024-04-12,2780.68,2790.34,2763.62,2763.62,3036178,HINDUNILVR.NS,8390830565.58
2024-04-15,2759.97,2770.85,2755.79,2759.81,1907768,HINDUNILVR.NS,5265079651.62
2024-04-16,2731.29,2734.51,2725.46,2734.51,5493613,HINDUNILVR.NS,15022329354.44
2024-04-17,2722.84,2736.45,2718.07,2732.12,2724805,HINDUNILVR.NS,7444487166.14
