Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,393.05,395.16,389.88,389.88,3721121,ITC.NS,1450795261.84
2023-10-20,391.41,398.48,380.62,393.1,1571630,ITC.NS,617810849.88
2023-10-23,406.05,408.31,403.62,408.31,2781461,ITC.NS,1135708268.58
2023-10-24,390.5,393.88,388.78,390.38,2499890,ITC.NS,975901964.12
2023-10-25,389.71,392.6,385.53,388.69,4485791,ITC.NS,1743582760.48
2023-10-26,403.3,405.48,401.85,401.85,3597205,ITC.NS,1445538895.85
2023-10-27,397.53,404.01,394.53,397.87,5467729,ITC.NS,2175462745.5
2023-10-30,407.24,415.43,405.68,408.01,3149152,ITC.NS,1284891161.73
2023-10-31,414.81,415.46,413.11,413.81,3890841,ITC.NS,1610051465.26
2023-11-01,407.13,412.87,404.62,404.62,1484657,ITC.NS,600718120.42
2023-11-02,410.45,419.25,404.09,409.19,1196250,ITC.NS,489494591.88
2023-11-03,405.08,411.5,403.5,404.84,3735852,ITC.NS,1512414529.0
2023-11-06,408.09,412.6,403.1,412.6,2182214,ITC.NS,900390200.1
2023-11-07,412.69,415.3,412.41,415.3,4368275,ITC.NS,1814134108.33
2023-11-08,411.64,414.84,410.39,412.83,2720342,ITC.NS,1123043891.86
2023-11-09,404.54,405.2,400.7,403.68,2070965,ITC.NS,835997925.38
2023-11-10,403.48,404.32,398.72,404.22,2960523,ITC.NS,1196709111.49
2023-11-13,407.51,408.31,402.95,408.12,2025729,ITC.NS,826748205.99
2023-11-14,385.01,385.42,376.25,384.0,7715202,ITC.NS,2962607778.63
2023-11-15,380.33,382.2,377.52,377.52,2857459,ITC.NS,1078757833.78
2023-11-16,374.75,378.71,373.86,377.98,5349721,ITC.NS,2022099774.89
2023-11-17,386.75,390.7,384.45,385.19,4776260,ITC.NS,1839754190.17
2023-11-20,385.45,389.52,384.01,389.52,3762014,ITC.NS,1465398274.01
2023-11-21,371.28,374.85,367.32,368.78,6308803,ITC.NS,2326536200.44
2023-11-22,349.51,355.01,346.49,350.77,2355403,ITC.NS,826202863.29
2023-11-23,347.66,350.31,346.69,347.98,4883942,ITC.NS,1699534455.47
2023-11-24,340.39,340.74,337.95,340.68,5213763,ITC.NS,1776217546.11
2023-11-27,330.68,331.11,329.2,330.5,3314596,ITC.NS,1095469927.46
2023-11-28,322.42,324.2,321.09,321.27,3088854,ITC.NS,992354033.74
2023-11-29,321.32,323.62,320.26,321.36,2578788,ITC.NS,828718909.95
2023-11-30,314.62,314.92,311.54,311.54,5428612,ITC.NS,1691253907.13
2023-12-01,319.34,321.63,316.27,319.34,5902622,ITC.NS,1884926403.17
2023-12-04,319.78,321.95,314.35,317.09,2547832,ITC.NS,807904753.25
2023-12-05,313.39,315.38,309.93,313.17,3322621,ITC.NS,1040554660.22
2023-12-06,307.7,311.3,306.33,306.33,5723317,ITC.NS,1753214939.1
2023-12-07,308.77,310.38,303.46,307.83,3733272,ITC.NS,1149228170.9
2023-12-08,307.05,311.43,303.53,306.11,1457533,ITC.NS,446160846.27
2023-12-11,302.57,306.61,300.2,300.2,2982110,ITC.NS,895236259.98
2023-12-12,301.41,305.3,299.07,302.85,1372552,ITC.NS,415684118.87
2023-12-13,302.35,303.01,299.47,302.36,3027991,ITC.NS,915542934.46
2023-12-14,304.46,306.46,299.93,306.46,4938806,ITC.NS,1513553856.64
2023-12-15,298.4,299.15,296.83,298.61,5275077,ITC.NS,1575177014.78
2023-12-18,285.97,289.33,283.46,285.43,4055407,ITC.NS,1157526116.24
2023-12-19,288.79,293.44,283.42,288.32,3147545,ITC.NS,907505760.58
2023-12-20,291.22,295.32,289.4,289.4,4312228,ITC.NS,1247939917.81
2023-12-21,290.7,296.42,288.97,290.65,2436914,ITC.NS,708279847.83
2023-12-22,291.4,298.44,290.95,291.31,2238734,ITC.NS,652165616.59
