Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,1994.03,2019.21,1978.35,1998.2,1438474,LT.NS,2874360462.84
2023-10-20,1979.31,1991.87,1947.66,1983.33,4833844,LT.NS,9587089263.43
2023-10-23,1928.29,1956.79,1912.8,1938.8,2455732,LT.NS,4761174156.88
2023-10-24,1927.8,1951.23,1927.65,1951.23,3288871,LT.NS,6417340748.46
2023-10-25,1976.32,2003.17,1972.4,2003.17,3142745,LT.NS,6295453724.83
2023-10-26,1932.65,1967.82,1879.92,1947.33,2069016,LT.NS,4029065139.21
2023-10-27,1983.76,2018.71,1953.79,1966.2,2265030,LT.NS,4453501967.34
2023-10-30,1920.12,1927.82,1919.62,1927.82,2392374,LT.NS,4612069240.45
2023-10-31,1886.06,1890.69,1869.95,1890.58,3951796,LT.NS,7471205747.44
2023-11-01,1933.16,1952.79,1923.24,1930.89,5428607,LT.NS,10482063537.17
2023-11-02,1903.68,1917.38,1890.76,1890.76,3183801,LT.NS,6019800500.97
2023-11-03,1870.86,1872.29,1855.84,1855.84,4719644,LT.NS,8758919737.17
2023-11-06,1851.33,1883.21,1821.91,1843.83,3025768,LT.NS,5579015618.08
2023-11-07,1782.92,1802.03,1733.96,1777.86,2847869,LT.NS,5063108865.99
2023-11-08,1778.04,1783.47,1768.98,1779.06,3454199,LT.NS,6145220016.65
2023-11-09,1820.37,1832.3,1801.83,1828.35,4547877,LT.NS,8315108381.53
2023-11-10,1801.43,1812.71,1798.62,1812.71,4772439,LT.NS,8651065452.96
2023-11-13,1847.22,1852.76,1837.64,1852.76,3459213,LT.NS,6409099868.69
2023-11-14,1894.03,1907.7,1887.11,1907.42,1814795,LT.NS,3461572585.07
2023-11-15,1888.93,1901.51,1875.17,1901.51,1359099,LT.NS,2584339564.04
2023-11-16,1905.98,1914.38,1899.45,1914.38,3743649,LT.NS,7166760951.4
2023-11-17,1872.03,1901.05,1844.35,1867.19,2559533,LT.NS,4779141698.22
2023-11-20,1781.88,1820.38,1769.71,1816.66,7242473,LT.NS,13157133754.22
2023-11-21,1861.61,1871.96,1823.72,1823.72,1338708,LT.NS,2441429093.52
2023-11-22,1780.64,1799.32,1725.77,1793.85,1585994,LT.NS,2845034449.0
2023-11-23,1794.32,1818.85,1780.57,1799.4,3531349,LT.NS,6354303926.48
2023-11-24,1762.24,1780.49,1761.37,1777.16,3334281,LT.NS,5925561325.6
2023-11-27,1879.46,1887.39,1864.27,1887.39,5912479,LT.NS,11159158872.14
2023-11-28,1860.19,1862.06,1845.82,1848.2,4917816,LT.NS,9089122113.54
2023-11-29,1870.13,1896.77,1859.6,1859.6,3409852,LT.NS,6340966399.79
2023-11-30,1823.28,1833.95,1811.7,1833.95,1903643,LT.NS,3491195042.67
2023-12-01,1852.03,1891.61,1846.75,1857.45,1881670,LT.NS,3495106359.9
2023-12-04,1725.43,1742.61,1707.19,1707.19,5364760,LT.NS,9158676401.5
2023-12-05,1642.19,1652.31,1619.12,1638.52,2085913,LT.NS,3417813733.5
2023-12-06,1643.76,1680.77,1604.0,1639.64,4450166,LT.NS,7296653942.61
2023-12-07,1594.12,1605.42,1593.79,1605.42,2990626,LT.NS,4801199499.47
2023-12-08,1652.34,1667.49,1619.53,1652.22,2112449,LT.NS,3490239602.08
2023-12-11,1648.21,1672.71,1635.79,1635.79,2689911,LT.NS,4400130322.5
2023-12-12,1581.8,1593.52,1556.31,1590.08,5491022,LT.NS,8731181230.31
2023-12-13,1554.4,1577.01,1528.47,1546.0,3067101,LT.NS,4741747834.08
2023-12-14,1564.41,1576.91,1561.96,1576.38,1979975,LT.NS,3121184160.99
2023-12-15,1566.12,1603.29,1538.52,1560.94,2295014,LT.NS,3582386084.22
2023-12-18,1476.76,1484.44,1462.2,1472.1,3354251,LT.NS,4937804235.96
2023-12-19,1482.06,1504.75,1480.81,1490.08,5234860,LT.NS,7800366014.18
2023-12-20,1507.77,1529.31,1488.56,1509.13,4497291,LT.NS,6786980852.82
2023-12-21,1466.74,1476.89,1460.7,1476.89,3136874,LT.NS,4632812642.95
2023-12-22,1559.05,1579.77,1555.29,1567.33,2565417,LT.NS,4020853691.72
2023-12-25,1544.61,1559.7,1529.1,1532.09,2944130,LT.NS,4510669009.63
2023-12-26,1499.4,1505.12,1488.28,1489.18,3032054,LT.NS,4515264765.67
2023-12-27,1422.62,1439.79,1413.87,1435.73,6254067,LT.NS,8979124078.41
2023-12-28,1411.44,1441.49,1404.62,1420.53,5040934,LT.NS,7160820418.13
2023-12-29,1378.08,1405.79,1360.61,1380.16,5647000,LT.NS,7793780162.63
2024-01-01,1369.21,1406.37,1352.17,1380.84,4704057,LT.NS,6495564090.88
2024-01-02,1383.95,1405.31,1353.8,1397.04,1723075,LT.NS,2407203563.46
2024-01-03,1352.86,1365.96,1327.11,1365.96,6348716,LT.NS,8672119341.08
2024-01-04,1375.74,1409.68,1352.08,1368.14,2902361,LT.NS,3970833058.48
2024-01-05,1381.84,1389.9,1359.88,1382.01,4425557,LT.NS,6116154342.08
2024-01-08,1344.3,1345.85,1322.34,1337.26,5956157,LT.NS,7964959013.5
2024-01-09,1313.55,1338.21,1302.62,1318.75,5608843,LT.NS,7396679735.91
2024-01-10,1310.64,1324.55,1295.06,1302.71,2246322,LT.NS,2926316350.76
2024-01-11,1337.26,1346.53,1329.24,1338.3,3128708,LT.NS,4187147796.07
2024-01-12,1364.44,1384.19,1349.58,1373.52,4739899,LT.NS,6510347357.4
2024-01-15,1379.31,1387.45,1366.86,1380.36,4856901,LT.NS,6704276682.08
2024-01-16,1357.03,1393.64,1321.88,1346.08,3319505,LT.NS,4468334335.88
2024-01-17,1269.48,1274.75,1261.23,1263.66,5766409,LT.NS,7286770686.83
2024-01-18,1272.13,1303.08,1252.8,1278.61,4883247,LT.NS,6243770968.17
2024-01-19,1249.08,1258.25,1234.15,1244.74,3712701,LT.NS,4621340101.2
2024-01-22,1243.61,1303.3,1229.67,1233.64,3092056,LT.NS,3814495312.04
2024-01-23,1200.9,1211.57,1180.38,1191.93,4061410,LT.NS,4840910852.85
2024-01-24,1219.26,1234.49,1203.87,1203.87,6134865,LT.NS,7385597489.91
2024-01-25,1230.55,1245.31,1212.37,1235.05,1482160,LT.NS,1830539833.2
2024-01-26,1266.28,1279.02,1264.12,1264.88,3258250,LT.NS,4121283687.84
2024-01-29,1264.52,1269.8,1250.46,1250.46,2639507,LT.NS,3300595295.53
2024-01-30,1289.49,1316.56,1267.49,1286.69,5046818,LT.NS,6493691664.11
2024-01-31,1260.25,1269.46,1253.6,1269.46,2519481,LT.NS,3198386033.55
2024-02-01,1252.89,1275.23,1237.02,1237.02,2909345,LT.NS,3598909699.85
2024-02-02,1282.56,1284.01,1264.83,1280.36,4494554,LT.NS,5754654695.29
2024-02-05,1319.81,1331.85,1293.23,1310.29,2925809,LT.NS,3833670944.18
2024-02-06,1349.82,1359.68,1348.87,1359.68,6186171,LT.NS,8411218581.52
2024-02-07,1368.12,1384.23,1362.85,1384.23,4613470,LT.NS,6386117727.88
