Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,2580.55,2600.51,2577.34,2587.14,4055125,RELIANCE.NS,10491176057.05
2023-10-20,2545.76,2576.35,2510.01,2530.83,4050578,RELIANCE.NS,10251336194.42
2023-10-23,2486.45,2488.32,2458.22,2458.22,2368985,RELIANCE.NS,5823484963.83
2023-10-24,2509.61,2524.68,2477.89,2477.89,3885877,RELIANCE.NS,9628775659.33
2023-10-25,2547.43,2577.7,2535.97,2535.97,6296864,RELIANCE.NS,15968667325.99
2023-10-26,2551.68,2557.83,2537.13,2557.83,1579757,RELIANCE.NS,4040746995.49
2023-10-27,2614.45,2616.37,2596.31,2603.21,2458277,RELIANCE.NS,6399402120.6
2023-10-30,2632.97,2642.67,2606.98,2606.98,3838628,RELIANCE.NS,10007244497.68
2023-10-31,2564.93,2597.81,2555.28,2577.66,1662969,RELIANCE.NS,4286561814.39
2023-11-01,2591.13,2607.78,2547.14,2591.4,3046090,RELIANCE.NS,7893633417.55
2023-11-02,2641.62,2678.1,2623.42,2635.79,1844891,RELIANCE.NS,4862746278.88
2023-11-03,2670.29,2675.49,2648.57,2648.57,2173516,RELIANCE.NS,5756700047.01
2023-11-06,2753.31,2785.7,2733.22,2733.22,6416361,RELIANCE.NS,17537347677.67
2023-11-07,2839.97,2855.44,2803.81,2829.28,4020647,RELIANCE.NS,11375519854.57
2023-11-08,2881.17,2916.38,2868.85,2874.33,2800167,RELIANCE.NS,8048612861.14
2023-11-09,2865.62,2890.12,2771.78,2872.56,2962729,RELIANCE.NS,8510602214.86
2023-11-10,2985.69,2992.29,2952.05,2982.82,3818118,RELIANCE.NS,11388768349.06
2023-11-13,2878.45,2886.65,2843.82,2876.73,2272662,RELIANCE.NS,6537845481.67
2023-11-14,2846.86,2869.43,2798.18,2831.1,1797512,RELIANCE.NS,5088941236.42
2023-11-15,2777.36,2806.21,2767.68,2767.68,4480776,RELIANCE.NS,12401350768.2
2023-11-16,2714.36,2734.02,2702.66,2729.8,4880428,RELIANCE.NS,13322591195.81
2023-11-17,2716.21,2724.85,2691.08,2697.28,2836772,RELIANCE.NS,7651570022.82
2023-11-20,2683.16,2684.91,2666.81,2666.81,2427325,RELIANCE.NS,6473214015.36
2023-11-21,2638.36,2657.3,2602.62,2643.09,3568350,RELIANCE.NS,9431452469.98
2023-11-22,2580.22,2589.04,2567.48,2588.1,4702555,RELIANCE.NS,12170670460.03
2023-11-23,2500.64,2517.62,2488.25,2509.22,5888153,RELIANCE.NS,14774697199.41
2023-11-24,2443.79,2444.09,2429.92,2429.92,5866498,RELIANCE.NS,14255118092.87
2023-11-27,2477.56,2485.62,2477.29,2481.5,3410397,RELIANCE.NS,8462909843.63
2023-11-28,2464.2,2493.41,2453.59,2480.89,2681835,RELIANCE.NS,6653329144.7
2023-11-29,2437.9,2456.3,2381.06,2430.63,2816629,RELIANCE.NS,6846185304.39
2023-11-30,2438.35,2460.76,2420.68,2440.67,2329316,RELIANCE.NS,5685090970.64
2023-12-01,2440.31,2468.5,2429.21,2437.91,1997196,RELIANCE.NS,4868982975.59
2023-12-04,2481.48,2504.6,2472.34,2472.34,3895625,RELIANCE.NS,9631313321.29
2023-12-05,2457.22,2476.87,2452.86,2476.87,3236397,RELIANCE.NS,8016145488.35
2023-12-06,2496.68,2521.31,2478.76,2503.44,3227541,RELIANCE.NS,8079967521.66
2023-12-07,2511.92,2527.44,2508.21,2514.17,3756667,RELIANCE.NS,9444904394.78
2023-12-08,2557.4,2582.53,2545.61,2565.05,5004123,RELIANCE.NS,12835835589.91
2023-12-11,2517.1,2533.49,2490.47,2511.75,5766973,RELIANCE.NS,14485168898.57
2023-12-12,2632.5,2688.82,2627.78,2627.93,2441092,RELIANCE.NS,6415013435.85
2023-12-13,2706.82,2719.37,2704.11,2719.37,5880552,RELIANCE.NS,15991381366.0
2023-12-14,2739.15,2748.29,2727.39,2748.29,5297608,RELIANCE.NS,14559368333.92
2023-12-15,2680.76,2692.43,2638.73,2684.34,5877696,RELIANCE.NS,15777760466.78
2023-12-18,2634.8,2635.8,2619.71,2623.57,3532355,RELIANCE.NS,9267377707.61
2023-12-19,2521.45,2547.46,2503.84,2530.14,2050113,RELIANCE.NS,5187065171.1
2023-12-20,2511.94,2529.64,2492.2,2501.32,3004564,RELIANCE.NS,7515381679.28
2023-12-21,2465.9,2471.83,2457.88,2459.67,1240722,RELIANCE.NS,3051762848.38
2023-12-22,2490.58,2501.2,2467.33,2501.2,4554624,RELIANCE.NS,11392026625.68
2023-12-25,2547.47,2579.16,2526.25,2556.17,5008016,RELIANCE.NS,12801348640.01
2023-12-26,2556.8,2580.7,2545.25,2580.7,3441611,RELIANCE.NS,8881766906.88
2023-12-27,2514.1,2524.49,2502.55,2524.49,2642996,RELIANCE.NS,6672220005.0
2023-12-28,2426.62,2432.83,2424.77,2424.77,3252346,RELIANCE.NS,7886188899.17
