Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,495.95,509.5,494.48,497.63,2236818,SBIN.NS,1113109840.98
2023-10-20,510.04,512.9,506.23,512.9,3158205,SBIN.NS,1619840295.03
2023-10-23,530.04,532.71,517.36,530.27,1839826,SBIN.NS,975598403.99
2023-10-24,528.84,534.33,518.55,528.46,3903667,SBIN.NS,2062939320.98
2023-10-25,555.66,562.86,547.73,552.19,3723637,SBIN.NS,2056145058.13
2023-10-26,569.3,589.4,559.88,568.84,4832276,SBIN.NS,2748799178.41
2023-10-27,563.7,567.56,551.94,558.74,4474012,SBIN.NS,2499816490.33
2023-10-30,571.34,573.64,553.58,572.48,3979926,SBIN.NS,2278432100.9
2023-10-31,566.83,571.72,555.03,563.81,2303044,SBIN.NS,1298469544.09
2023-11-01,565.79,568.67,564.44,564.44,1675118,SBIN.NS,945497349.79
2023-11-02,601.36,612.89,589.87,603.82,3835933,SBIN.NS,2316213478.88
2023-11-03,609.76,615.9,606.27,614.11,2257605,SBIN.NS,1386410720.14
2023-11-06,616.31,627.74,611.3,621.11,4894908,SBIN.NS,3040290502.66
2023-11-07,618.05,628.28,604.1,625.6,1084693,SBIN.NS,678580607.73
2023-11-08,601.05,613.54,592.99,593.55,5666615,SBIN.NS,3363393227.09
2023-11-09,601.57,613.34,599.18,599.18,4242997,SBIN.NS,2542317360.49
2023-11-10,575.33,576.59,570.27,571.29,2445805,SBIN.NS,1397263145.09
2023-11-13,543.95,554.16,540.54,544.88,4684163,SBIN.NS,2552294288.06
2023-11-14,570.47,582.66,568.9,571.06,2093399,SBIN.NS,1195458603.47
2023-11-15,554.55,563.6,539.01,548.72,3534488,SBIN.NS,1939455464.07
2023-11-16,570.34,578.24,568.6,574.63,3178146,SBIN.NS,1826269426.12
2023-11-17,549.02,552.74,533.17,546.23,2576306,SBIN.NS,1407249505.54
2023-11-20,550.21,553.41,539.86,553.41,3838733,SBIN.NS,2124403570.2
2023-11-21,544.93,556.62,534.03,556.62,1282021,SBIN.NS,713601350.01
2023-11-22,585.36,589.81,581.21,581.21,4324912,SBIN.NS,2513662005.82
2023-11-23,590.65,593.2,583.36,583.36,3427035,SBIN.NS,1999188365.11
2023-11-24,579.11,583.24,575.74,578.46,1272344,SBIN.NS,736005338.09
2023-11-27,534.55,538.68,526.24,532.77,3299806,SBIN.NS,1758053433.62
2023-11-28,538.43,548.95,521.85,545.59,2012308,SBIN.NS,1097891452.06
2023-11-29,519.18,521.85,514.87,514.87,4896272,SBIN.NS,2520919725.11
2023-11-30,496.4,501.47,490.27,498.82,1776293,SBIN.NS,886052074.96
2023-12-01,510.44,523.12,505.19,505.19,1914420,SBIN.NS,967152606.51
2023-12-04,481.57,492.35,472.9,475.42,7134673,SBIN.NS,3391986508.35
2023-12-05,477.63,483.06,471.71,478.82,4538457,SBIN.NS,2173115628.88
2023-12-06,481.29,485.48,471.52,477.78,3815684,SBIN.NS,1823046898.39
2023-12-07,466.74,470.28,459.3,465.88,2673455,SBIN.NS,1245512727.09
2023-12-08,466.65,471.45,465.39,471.45,1850591,SBIN.NS,872459733.38
2023-12-11,479.63,495.69,478.07,482.75,2632756,SBIN.NS,1270960371.99
2023-12-12,486.61,488.63,481.59,482.97,1575889,SBIN.NS,761110314.6
2023-12-13,487.26,496.62,483.88,493.62,4499811,SBIN.NS,2221210766.96
2023-12-14,496.17,497.21,495.2,496.5,2560947,SBIN.NS,1271510858.29
2023-12-15,489.64,492.66,486.74,489.03,3502797,SBIN.NS,1712973531.99
2023-12-18,468.29,472.21,465.85,471.82,5718680,SBIN.NS,2698185749.63
2023-12-19,451.43,465.67,446.1,448.94,5308908,SBIN.NS,2383387043.94
2023-12-20,447.83,452.32,437.17,451.48,1855280,SBIN.NS,837630363.79
2023-12-21,462.28,462.99,459.52,461.1,4242501,SBIN.NS,1956234494.16
2023-12-22,456.38,456.99,452.26,454.74,1202775,SBIN.NS,546947859.84
2023-12-25,440.58,444.76,436.44,438.68,4331133,SBIN.NS,1899984807.58
2023-12-26,445.06,447.61,436.36,443.12,1375694,SBIN.NS,609598179.22
2023-12-27,446.7,458.73,446.32,446.32,1973042,SBIN.NS,880616214.15
2023-12-28,444.52,445.9,434.77,443.29,2864116,SBIN.NS,1269625089.53
2023-12-29,452.71,465.4,446.5,448.17,4350047,SBIN.NS,1949577902.42
2024-01-01,443.2,448.09,440.33,440.48,2416831,SBIN.NS,1064564687.76
2024-01-02,429.95,433.01,428.3,429.08,6106184,SBIN.NS,2620015094.6
2024-01-03,425.36,434.16,423.33,425.12,3224032,SBIN.NS,1370616139.17
2024-01-04,442.35,458.01,438.9,445.66,2169805,SBIN.NS,967005232.45
2024-01-05,456.93,460.58,452.89,457.26,5009549,SBIN.NS,2290666163.67
2024-01-08,437.37,439.94,436.84,437.28,1836375,SBIN.NS,803001428.19
2024-01-09,444.75,449.32,436.51,447.68,1525402,SBIN.NS,682892513.0
2024-01-10,447.32,450.4,435.64,443.68,4474543,SBIN.NS,1985281146.85
2024-01-11,445.33,450.72,438.8,448.66,1945529,SBIN.NS,872879268.88
2024-01-12,440.2,445.27,435.08,443.32,2684884,SBIN.NS,1190252180.75
2024-01-15,455.61,464.67,448.93,455.87,1440998,SBIN.NS,656906824.23
2024-01-16,456.31,460.73,448.24,448.24,1177153,SBIN.NS,527646412.87
2024-01-17,458.19,469.8,457.52,457.52,1889512,SBIN.NS,864496181.06
2024-01-18,454.52,455.56,448.82,454.14,5241538,SBIN.NS,2380368515.83
2024-01-19,474.17,477.08,466.74,477.08,1765867,SBIN.NS,842457651.91
2024-01-22,475.71,481.4,467.64,476.27,2923885,SBIN.NS,1392564170.53
2024-01-23,464.49,466.22,457.5,457.5,4842299,SBIN.NS,2215332964.71
2024-01-24,461.3,469.69,455.67,464.08,3427782,SBIN.NS,1590776982.83
2024-01-25,477.26,486.31,461.67,478.61,4438898,SBIN.NS,2124517188.56
2024-01-26,477.58,479.08,472.54,474.6,1448239,SBIN.NS,687334692.19
2024-01-29,457.12,458.91,448.25,453.89,1718420,SBIN.NS,779967091.11
2024-01-30,435.32,438.74,422.51,438.37,4990455,SBIN.NS,2187685635.66
2024-01-31,429.92,440.93,429.41,435.17,3626195,SBIN.NS,1578018825.71
2024-02-01,431.15,437.74,422.55,432.5,3893360,SBIN.NS,1683895667.92
2024-02-02,443.09,443.35,438.59,443.05,2582266,SBIN.NS,1144069372.73
2024-02-05,436.33,440.09,430.95,432.69,4935884,SBIN.NS,2135714975.85
2024-02-06,400.44,402.71,397.85,399.83,7750819,SBIN.NS,3098979243.66
2024-02-07,403.29,406.09,400.68,401.72,2483549,SBIN.NS,997690613.92
2024-02-08,419.55,435.51,414.45,414.45,6925367,SBIN.NS,2870240869.86
2024-02-09,426.54,437.32,425.81,432.48,4621260,SBIN.NS,1998581362.84
2024-02-12,443.34,447.32,433.11,442.13,4408604,SBIN.NS,1949173097.55
2024-02-13,443.64,460.56,441.03,441.03,4066557,SBIN.NS,1793456879.18
2024-02-14,444.0,450.55,440.99,440.99,2278199,SBIN.NS,1004673177.22
2024-02-15,453.14,454.29,449.12,450.81,2501746,SBIN.NS,1127807031.29
2024-02-16,461.67,463.37,453.26,453.26,5502430,SBIN.NS,2494023262.4
2024-02-19,452.91,460.88,446.28,454.77,1071926,SBIN.NS,487484193.91
2024-02-20,456.98,460.73,448.84,454.21,1195326,SBIN.NS,542934804.11
2024-02-21,439.76,442.27,437.27,437.7,5134387,SBIN.NS,2247306850.55
2024-02-22,440.06,441.06,439.68,441.06,2668198,SBIN.NS,1176834145.36
2024-02-23,437.19,445.4,425.12,437.55,3309906,SBIN.NS,1448257187.32
2024-02-26,430.08,432.86,414.66,429.1,4687120,SBIN.NS,2011259024.9
2024-02-27,423.69,432.96,413.06,422.35,3617079,SBIN.NS,1527672779.09
2024-02-28,421.35,423.98,413.43,423.79,1602299,SBIN.NS,679043410.79
2024-02-29,427.16,434.95,423.27,428.68,1800388,SBIN.NS,771782310.78
