Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,3453.45,3481.65,3424.91,3448.2,5096264,TCS.NS,17572956082.44
2023-10-20,3449.11,3512.71,3446.92,3452.02,4737377,TCS.NS,16353536315.01
2023-10-23,3449.95,3460.77,3440.52,3442.1,3609156,TCS.NS,12423087610.5
2023-10-24,3457.58,3471.43,3436.8,3436.8,3755515,TCS.NS,12906953946.93
2023-10-25,3394.67,3424.31,3370.73,3391.57,3683464,TCS.NS,12492737943.02
2023-10-26,3435.4,3440.95,3434.34,3440.95,2286327,TCS.NS,7867139222.36
2023-10-27,3464.55,3470.13,3460.56,3470.13,4444076,TCS.NS,15421509358.45
2023-10-30,3535.89,3545.72,3535.72,3536.16,2922495,TCS.NS,10334411287.41
2023-10-31,3574.47,3590.75,3573.48,3590.75,1854688,TCS.NS,6659719176.52
2023-11-01,3585.19,3599.93,3572.66,3576.59,4200787,TCS.NS,15024494059.83
2023-11-02,3619.55,3634.39,3611.03,3612.05,4310091,TCS.NS,15568279592.33
2023-11-03,3625.85,3629.7,3586.19,3613.11,1067549,TCS.NS,3857168175.98
2023-11-06,3671.7,3688.46,3640.93,3656.63,5449594,TCS.NS,19927157399.65
2023-11-07,3710.02,3718.09,3691.05,3691.05,3769714,TCS.NS,13914215990.65
2023-11-08,3638.09,3667.38,3600.25,3658.25,1747847,TCS.NS,6394055592.18
2023-11-09,3757.05,3757.94,3675.79,3738.74,5006307,TCS.NS,18717259011.07
2023-11-10,3843.0,3870.3,3796.13,3823.11,5016812,TCS.NS,19179835064.13
2023-11-13,3840.75,3857.23,3825.25,3831.95,4224432,TCS.NS,16187830657.59
2023-11-14,3832.58,3852.66,3792.97,3832.92,3952278,TCS.NS,15148760065.56
2023-11-15,3777.66,3778.79,3736.11,3775.68,2400239,TCS.NS,9062533532.6
2023-11-16,3870.4,3879.89,3859.26,3859.26,2908173,TCS.NS,11223400977.67
2023-11-17,3838.41,3871.46,3824.83,3824.83,3636514,TCS.NS,13909042963.77
2023-11-20,3831.8,3833.78,3817.8,3828.73,3742934,TCS.NS,14330668769.27
2023-11-21,3911.02,3935.06,3872.98,3912.87,1551933,TCS.NS,6072507469.18
2023-11-22,3873.21,3955.4,3789.38,3878.67,4642876,TCS.NS,18008165315.0
2023-11-23,3853.95,3893.47,3840.66,3840.66,2968488,TCS.NS,11400950287.29
2023-11-24,3815.56,3851.37,3784.33,3784.33,3380352,TCS.NS,12792362856.42
2023-11-27,3807.09,3829.89,3791.23,3805.1,2287605,TCS.NS,8704575831.6
2023-11-28,3791.38,3805.14,3774.64,3774.64,3570321,TCS.NS,13476667098.09
2023-11-29,3812.96,3824.6,3798.22,3798.22,3486398,TCS.NS,13242111747.56
2023-11-30,3889.59,3909.31,3851.78,3889.97,2406263,TCS.NS,9360299569.88
2023-12-01,3810.48,3849.95,3801.76,3801.76,4527725,TCS.NS,17213320006.96
2023-12-04,3809.49,3830.4,3769.01,3799.77,1973963,TCS.NS,7500607498.91
2023-12-05,3784.8,3803.53,3701.3,3803.53,2913227,TCS.NS,11080546403.32
2023-12-06,3786.28,3826.36,3749.62,3796.69,2827024,TCS.NS,10733322288.27
2023-12-07,3920.32,3927.35,3902.55,3902.55,5642040,TCS.NS,22018324053.89
2023-12-08,4005.67,4027.12,3977.36,4008.93,2052514,TCS.NS,8228386893.57
2023-12-11,3870.27,3888.26,3861.64,3888.26,5239056,TCS.NS,20370808170.48
2023-12-12,3885.15,3887.5,3875.85,3876.88,3333437,TCS.NS,12923328388.6
2023-12-13,3916.57,3926.27,3914.45,3922.47,3870871,TCS.NS,15183366619.89
2023-12-14,4039.86,4060.53,3964.7,4047.75,5440517,TCS.NS,22021842230.62
2023-12-15,4051.76,4082.22,4045.16,4052.78,4708556,TCS.NS,19082744274.97
2023-12-18,4054.97,4087.45,4002.43,4076.45,1422257,TCS.NS,5797757097.7
2023-12-19,3948.83,3979.27,3940.25,3979.27,3892131,TCS.NS,15487822263.59
2023-12-20,3910.47,3935.59,3887.97,3929.82,5592645,TCS.NS,21978093814.62
2023-12-21,3842.82,3859.0,3821.18,3838.79,4788445,TCS.NS,18381829951.21
2023-12-22,3788.0,3815.61,3774.09,3774.09,5148271,TCS.NS,19430025401.95
2023-12-25,3725.25,3737.49,3677.33,3726.19,1922394,TCS.NS,7163205237.54
2023-12-26,3710.34,3726.0,3684.25,3726.0,1307553,TCS.NS,4871942321.29
2023-12-27,3694.96,3701.73,3666.91,3690.73,5121467,TCS.NS,18901970288.7
2023-12-28,3697.67,3724.48,3650.87,3688.62,3019169,TCS.NS,11136580788.42
2023-12-29,3695.66,3730.83,3679.31,3700.57,3576670,TCS.NS,13235720672.19
2024-01-01,3668.51,3696.33,3637.57,3659.56,2455337,TCS.NS,8985456877.29
2024-01-02,3628.94,3668.3,3564.38,3628.74,3704625,TCS.NS,13443124043.39
2024-01-03,3619.23,3648.93,3611.12,3628.11,2775831,TCS.NS,10071031524.09
2024-01-04,3697.91,3727.1,3637.42,3702.48,4375196,TCS.NS,16199059675.49
2024-01-05,3667.65,3679.31,3661.39,3679.31,4236149,TCS.NS,15586119376.64
2024-01-08,3689.05,3694.47,3687.99,3689.38,4524164,TCS.NS,16691344074.69
2024-01-09,3681.92,3691.95,3657.44,3657.44,2452820,TCS.NS,8971047463.04
2024-01-10,3699.88,3786.81,3695.87,3695.87,1918466,TCS.NS,7090391876.1
2024-01-11,3691.5,3726.3,3677.32,3681.98,2891956,TCS.NS,10648132909.64
2024-01-12,3695.41,3738.32,3659.27,3684.49,2334612,TCS.NS,8601862315.26
2024-01-15,3606.33,3649.77,3559.55,3595.52,3063676,TCS.NS,11015493990.79
2024-01-16,3473.73,3489.15,3437.33,3443.74,1539125,TCS.NS,5300352194.43
2024-01-17,3372.57,3419.03,3352.35,3387.52,5700368,TCS.NS,19310093839.29
2024-01-18,3325.75,3338.65,3323.22,3337.68,3506037,TCS.NS,11702020306.92
2024-01-19,3398.45,3413.84,3361.07,3382.89,1257390,TCS.NS,4253613820.28
2024-01-22,3436.84,3503.35,3408.91,3450.78,1292297,TCS.NS,4459428182.78
2024-01-23,3442.87,3469.22,3436.38,3437.25,4517666,TCS.NS,15528357804.43
2024-01-24,3452.69,3458.33,3440.77,3443.28,1858342,TCS.NS,6398791876.73
2024-01-25,3488.29,3507.67,3483.06,3496.68,5116619,TCS.NS,17891165467.38
2024-01-26,3481.25,3517.53,3469.84,3469.84,4741363,TCS.NS,16451792219.4
2024-01-29,3476.95,3495.86,3444.6,3483.75,1951066,TCS.NS,6797032093.38
2024-01-30,3430.43,3453.13,3415.76,3434.94,1768214,TCS.NS,6073713859.77
2024-01-31,3526.72,3548.28,3519.85,3526.33,5578380,TCS.NS,19671234172.8
2024-02-01,3538.06,3554.78,3534.08,3534.08,1876192,TCS.NS,6630616579.55
2024-02-02,3521.33,3558.55,3517.56,3523.31,2206629,TCS.NS,7774641841.23
2024-02-05,3506.43,3561.82,3453.78,3490.75,2769818,TCS.NS,9668744182.97
2024-02-06,3469.92,3497.65,3440.35,3473.31,1908074,TCS.NS,6627330058.35
2024-02-07,3480.68,3564.6,3459.75,3474.11,5093192,TCS.NS,17694331562.2
2024-02-08,3451.24,3460.26,3436.8,3460.26,2936180,TCS.NS,10159953486.5
2024-02-09,3445.6,3448.87,3394.65,3448.87,2767503,TCS.NS,9544758636.14
2024-02-12,3416.65,3429.87,3377.82,3423.31,2989503,TCS.NS,10234006060.25
2024-02-13,3379.68,3389.68,3356.3,3356.3,1688820,TCS.NS,5668191797.45
2024-02-14,3316.53,3319.79,3314.47,3319.29,2907961,TCS.NS,9652378980.16
2024-02-15,3331.47,3340.28,3270.75,3327.59,4250104,TCS.NS,14142617365.14
2024-02-16,3299.11,3332.47,3267.14,3282.4,4914265,TCS.NS,16130606526.7
2024-02-19,3270.76,3284.95,3237.33,3284.95,1491902,TCS.NS,4900823710.11
2024-02-20,3333.45,3371.53,3320.57,3323.32,2722550,TCS.NS,9047911439.83
2024-02-21,3326.24,3339.31,3307.21,3307.21,4812449,TCS.NS,15915802239.36
2024-02-22,3253.56,3275.14,3207.33,3257.56,4476843,TCS.NS,14583567715.28
2024-02-23,3216.85,3240.23,3216.23,3235.28,4681499,TCS.NS,15145949681.35
2024-02-26,3209.02,3229.72,3178.34,3229.72,3746233,TCS.NS,12099279413.62
2024-02-27,3121.14,3169.37,3103.68,3117.64,3190041,TCS.NS,9945406616.54
2024-02-28,3143.04,3150.52,3124.81,3124.81,2349992,TCS.NS,7343278350.75
2024-02-29,3086.17,3102.46,3074.16,3086.5,5477255,TCS.NS,16905556281.57
2024-03-01,3131.62,3145.43,3107.85,3136.6,4351230,TCS.NS,13648088515.09
2024-03-04,3112.98,3117.93,3090.08,3112.11,4347969,TCS.NS,13531378175.98
2024-03-05,3151.7,3154.07,3136.19,3142.95,4830928,TCS.NS,15183342179.5
2024-03-06,3185.42,3201.27,3175.04,3175.86,3118273,TCS.NS,9903188583.36
2024-03-07,3140.8,3155.47,3119.92,3151.63,5535156,TCS.NS,17444777369.35
2024-03-08,3224.27,3236.45,3222.79,3236.45,4245266,TCS.NS,13739585791.68
2024-03-11,3199.96,3223.81,3181.98,3202.52,1183638,TCS.NS,3790623050.51
2024-03-12,3257.45,3286.26,3242.97,3256.45,4516656,TCS.NS,14708269756.45
2024-03-13,3270.13,3271.48,3245.75,3245.75,4921616,TCS.NS,15974326084.22
2024-03-14,3207.16,3222.73,3188.99,3203.19,3214929,TCS.NS,10298029923.45
2024-03-15,3218.52,3235.54,3201.65,3223.81,3589402,TCS.NS,11571536520.6
2024-03-18,3194.03,3217.88,3188.62,3199.3,2394986,TCS.NS,7662280538.02
2024-03-19,3235.11,3267.81,3219.07,3219.07,4663950,TCS.NS,15013604735.41
2024-03-20,3233.33,3246.84,3220.99,3223.47,1699735,TCS.NS,5479041706.16
2024-03-21,3314.68,3324.52,3240.83,3315.49,2097776,TCS.NS,6955154928.46
2024-03-22,3299.75,3314.24,3256.54,3302.0,1580936,TCS.NS,5220247762.94
2024-03-25,3330.22,3363.72,3323.64,3363.72,2047702,TCS.NS,6887889760.51
2024-03-26,3248.75,3272.96,3206.59,3265.09,4662643,TCS.NS,15223926014.16
2024-03-27,3216.3,3248.86,3193.95,3193.95,1461125,TCS.NS,4666762980.4
2024-03-28,3182.11,3194.84,3174.02,3185.55,1899487,TCS.NS,6050912589.71
2024-03-29,3255.14,3265.57,3198.74,3265.57,4693427,TCS.NS,15326717448.34
2024-04-01,3287.89,3290.34,3239.01,3266.78,4173106,TCS.NS,13632622182.8
2024-04-02,3319.6,3319.99,3292.48,3310.79,2407317,TCS.NS,7970121670.4
2024-04-03,3358.57,3391.97,3344.14,3364.28,4170313,TCS.NS,14030084188.86
2024-04-04,3318.61,3332.39,3300.96,3303.53,3744216,TCS.NS,12369144281.24
2024-04-05,3318.97,3331.35,3318.29,3328.18,5233150,TCS.NS,17416889381.38
2024-04-08,3307.67,3329.46,3262.72,3329.46,3052339,TCS.NS,10162652907.86
2024-04-09,3313.05,3327.28,3281.16,3327.28,2829665,TCS.NS,9415094772.21
2024-04-10,3387.11,3404.67,3346.29,3399.65,3399443,TCS.NS,11556925546.92
2024-04-11,3447.25,3470.37,3420.27,3446.43,1216864,TCS.NS,4193835836.63
2024-04-12,3483.47,3485.3,3480.84,3485.3,1986477,TCS.NS,6923475681.83
2024-04-15,3524.42,3575.47,3489.87,3519.58,2481241,TCS.NS,8732915293.63
2024-04-16,3606.13,3630.14,3604.02,3612.26,2984294,TCS.NS,10780037290.27
2024-04-17,3596.94,3650.47,3576.3,3608.79,1148464,TCS.NS,4144562436.46
2024-04-18,3613.81,3639.45,3610.78,3639.45,1943817,TCS.NS,7074429365.54
