Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,404.19,409.53,399.89,400.24,1487087,WIPRO.NS,595195639.94
2023-10-20,388.01,395.09,385.79,385.94,2569818,WIPRO.NS,991804777.44
2023-10-23,401.3,405.65,397.22,402.25,3202012,WIPRO.NS,1287999921.99
2023-10-24,406.55,411.3,402.1,406.45,3962738,WIPRO.NS,1610672578.12
2023-10-25,401.0,405.71,396.98,401.55,2925575,WIPRO.NS,1174758675.04
2023-10-26,401.12,403.42,400.27,400.32,4759015,WIPRO.NS,1905114718.72
2023-10-27,391.79,396.16,389.9,389.9,3473299,WIPRO.NS,1354244698.19
2023-10-30,397.42,399.49,397.38,399.49,4443941,WIPRO.NS,1775291670.14
2023-10-31,412.44,415.46,408.15,415.46,5950409,WIPRO.NS,2472170846.86
2023-11-01,421.78,426.27,417.59,417.59,1801534,WIPRO.NS,752300310.8
2023-11-02,411.35,412.86,410.52,412.16,4354044,WIPRO.NS,1794574259.12
2023-11-03,403.67,411.05,402.39,403.41,3293375,WIPRO.NS,1328596556.4
2023-11-06,408.32,414.7,402.72,406.9,2376659,WIPRO.NS,967056585.05
2023-11-07,415.72,418.46,408.67,418.46,4949974,WIPRO.NS,2071345196.31
2023-11-08,411.41,414.28,409.24,409.8,2982720,WIPRO.NS,1222330262.78
2023-11-09,402.74,404.05,402.73,404.05,5350424,WIPRO.NS,2161813210.47
2023-11-10,408.33,412.92,407.51,408.42,1456451,WIPRO.NS,594843081.97
2023-11-13,405.36,410.05,401.42,410.05,4830936,WIPRO.NS,1980909747.66
2023-11-14,409.06,415.78,405.06,410.2,3415317,WIPRO.NS,1400961753.15
2023-11-15,402.29,406.39,401.23,401.23,2276799,WIPRO.NS,913523601.42
2023-11-16,408.93,410.6,401.69,410.6,2721966,WIPRO.NS,1117632760.02
2023-11-17,418.96,420.29,413.53,419.5,4461758,WIPRO.NS,1871694194.81
2023-11-20,412.59,413.55,403.93,413.55,2035393,WIPRO.NS,841743823.96
2023-11-21,414.07,421.09,411.45,414.67,1661301,WIPRO.NS,688886147.78
2023-11-22,415.03,416.19,414.42,416.19,3506865,WIPRO.NS,1459538612.34
2023-11-23,414.53,416.59,412.96,413.35,3850229,WIPRO.NS,1591497057.28
2023-11-24,402.85,405.0,394.26,404.46,4100465,WIPRO.NS,1658474924.29
2023-11-27,412.03,416.4,408.37,412.86,5458917,WIPRO.NS,2253762561.94
2023-11-28,408.62,410.74,406.06,409.6,2089150,WIPRO.NS,855712901.48
2023-11-29,404.95,407.39,402.54,407.39,2093866,WIPRO.NS,853013160.62
2023-11-30,413.79,414.84,406.91,413.04,1874858,WIPRO.NS,774396784.18
2023-12-01,412.5,416.94,410.87,410.87,1445575,WIPRO.NS,593940549.6
2023-12-04,412.81,414.28,411.24,412.29,1542959,WIPRO.NS,636151352.04
2023-12-05,401.18,410.04,397.52,400.46,6028818,WIPRO.NS,2414289788.7
2023-12-06,395.24,395.56,392.51,395.56,4969426,WIPRO.NS,1965693525.43
2023-12-07,381.73,383.48,381.06,381.06,6610970,WIPRO.NS,2519169625.1
2023-12-08,377.64,383.68,375.42,380.25,1295442,WIPRO.NS,492594410.65
2023-12-11,379.97,390.94,377.36,380.56,1494548,WIPRO.NS,568769737.42
2023-12-12,383.16,384.34,381.61,384.34,3306719,WIPRO.NS,1270904405.64
2023-12-13,381.68,386.8,374.18,381.31,4282079,WIPRO.NS,1632790563.99
2023-12-14,383.03,385.14,380.54,384.33,3517825,WIPRO.NS,1352018992.53
2023-12-15,387.02,389.89,386.64,389.89,4260466,WIPRO.NS,1661122302.24
2023-12-18,398.3,403.06,393.29,403.06,2036748,WIPRO.NS,820927438.4
2023-12-19,401.69,409.28,399.54,402.41,2918291,WIPRO.NS,1174360956.74
2023-12-20,406.98,412.49,398.85,408.19,2085795,WIPRO.NS,851401829.55
2023-12-21,411.83,413.04,409.73,412.64,1483140,WIPRO.NS,612007890.91
2023-12-22,419.27,422.49,417.45,422.49,2008100,WIPRO.NS,848393912.71
2023-12-25,422.71,425.33,422.02,424.71,3135311,WIPRO.NS,1331587954.68
2023-12-26,419.12,422.05,416.54,421.32,4491706,WIPRO.NS,1892457899.06
2023-12-27,423.31,424.58,417.38,424.03,4694531,WIPRO.NS,1990621370.1
2023-12-28,416.42,420.56,414.45,414.45,3379528,WIPRO.NS,1400643986.34
2023-12-29,425.91,434.65,418.36,426.88,4435811,WIPRO.NS,1893574984.81
2024-01-01,421.68,429.63,418.03,418.03,1598885,WIPRO.NS,668376741.32
2024-01-02,421.85,425.93,414.46,422.69,4007553,WIPRO.NS,1693947632.81
2024-01-03,428.36,436.58,420.53,427.57,5208729,WIPRO.NS,2227070693.05
2024-01-04,427.6,431.15,423.18,428.48,1341709,WIPRO.NS,574899666.41
2024-01-05,424.09,424.73,418.12,421.49,1830063,WIPRO.NS,771346069.6
2024-01-08,434.43,437.69,429.54,430.42,3078426,WIPRO.NS,1325010518.97
2024-01-09,432.64,437.9,427.18,434.6,3011047,WIPRO.NS,1308595964.78
2024-01-10,419.5,421.94,416.48,416.48,3346039,WIPRO.NS,1393573348.12
2024-01-11,426.8,430.41,426.26,426.38,3099147,WIPRO.NS,1321410107.15
2024-01-12,435.94,440.73,431.2,431.2,3118975,WIPRO.NS,1344910324.27
2024-01-15,429.3,430.63,420.12,426.03,3003571,WIPRO.NS,1279605575.71
2024-01-16,417.04,421.22,410.74,419.19,5149288,WIPRO.NS,2158511044.31
2024-01-17,411.46,415.23,409.16,409.16,2330729,WIPRO.NS,953643552.3
2024-01-18,405.19,410.03,399.53,410.03,5371819,WIPRO.NS,2202599501.4
2024-01-19,420.35,422.26,418.05,419.47,5382047,WIPRO.NS,2257619752.05
2024-01-22,425.44,427.17,422.03,425.29,1993448,WIPRO.NS,847798159.87
2024-01-23,426.36,430.9,423.47,429.32,2238031,WIPRO.NS,960829857.85
2024-01-24,435.32,439.62,434.54,439.62,1796402,WIPRO.NS,789737678.54
2024-01-25,433.84,433.84,431.5,433.65,2569122,WIPRO.NS,1114108797.2
2024-01-26,433.23,440.48,428.73,428.73,2849695,WIPRO.NS,1221758735.89
2024-01-29,445.67,447.91,440.35,443.85,3015225,WIPRO.NS,1338315481.55
2024-01-30,446.1,449.85,443.94,443.94,1383746,WIPRO.NS,614304521.56
2024-01-31,447.68,451.93,443.8,445.55,4364734,WIPRO.NS,1944698288.19
2024-02-01,442.59,446.28,439.14,439.14,3825391,WIPRO.NS,1679880061.74
2024-02-02,433.66,437.53,430.13,436.56,2847532,WIPRO.NS,1243117243.52
2024-02-05,421.12,424.55,413.28,420.22,2167814,WIPRO.NS,910963255.27
2024-02-06,411.85,413.05,409.36,411.28,4851436,WIPRO.NS,1995322787.25
2024-02-07,407.93,410.55,404.6,407.59,4405749,WIPRO.NS,1795747931.47
2024-02-08,407.48,407.62,406.26,406.26,1596767,WIPRO.NS,648704011.04
2024-02-09,414.02,415.46,409.71,414.01,2578331,WIPRO.NS,1067459230.46
2024-02-12,409.64,410.95,406.13,410.95,3407673,WIPRO.NS,1400378588.26
2024-02-13,422.98,429.18,422.47,423.2,4170024,WIPRO.NS,1764740385.56
2024-02-14,424.86,425.05,415.23,423.81,3632170,WIPRO.NS,1539332352.0
2024-02-15,417.55,420.2,416.07,416.07,1417530,WIPRO.NS,589788292.34
