Date,Open,High,Low,Close,Volume,Symbol,Amount
2023-10-19,819.68,831.48,816.57,819.99,3660236,BHARTIARTL.NS,3001362700.68
2023-10-20,829.06,836.1,823.27,823.27,1286014,BHARTIARTL.NS,1058743103.54
2023-10-23,845.64,845.68,827.81,844.96,5233804,BHARTIARTL.NS,4422335506.89
2023-10-24,846.28,854.42,837.2,852.64,3977688,BHARTIARTL.NS,3391529887.72
2023-10-25,842.61,847.08,837.09,844.57,3425251,BHARTIARTL.NS,2892878439.84
2023-10-26,857.85,862.72,844.98,858.97,1267872,BHARTIARTL.NS,1089067305.49
2023-10-27,892.5,895.1,888.68,894.93,2666322,BHARTIARTL.NS,2386182553.6
2023-10-30,908.03,934.75,904.44,905.15,5662631,BHARTIARTL.NS,5125543108.87
2023-10-31,878.49,894.03,869.01,880.33,2060111,BHARTIARTL.NS,1813568647.17
2023-11-01,896.57,905.94,887.58,887.58,3036956,BHARTIARTL.NS,2695542087.95
2023-11-02,906.37,914.39,880.85,908.53,4159658,BHARTIARTL.NS,3779187492.74
2023-11-03,899.74,909.23,891.16,891.16,4280647,BHARTIARTL.NS,3814761637.15
2023-11-06,892.17,914.33,890.9,894.04,1911149,BHARTIARTL.NS,1708634831.98
2023-11-07,912.98,928.32,908.0,910.32,3977198,BHARTIARTL.NS,3620534811.11
2023-11-08,945.96,954.43,933.44,946.48,3973524,BHARTIARTL.NS,3760857966.53
2023-11-09,978.97,979.28,977.38,978.51,5957838,BHARTIARTL.NS,5829798383.3
2023-11-10,973.34,977.45,967.91,967.91,5105438,BHARTIARTL.NS,4941627423.3
2023-11-13,977.5,995.77,959.86,977.36,1569617,BHARTIARTL.NS,1534080618.47
2023-11-14,987.73,1009.12,985.41,993.59,4201220,BHARTIARTL.NS,4174273712.86
2023-11-15,995.34,1014.28,989.87,989.87,3079089,BHARTIARTL.NS,3047906486.39
2023-11-16,974.86,987.77,967.32,987.77,2696245,BHARTIARTL.NS,2663270844.34
2023-11-17,994.24,1002.26,987.78,989.48,1665155,BHARTIARTL.NS,1647645574.12
2023-11-20,996.89,1000.69,995.87,1000.69,1650895,BHARTIARTL.NS,1652028002.25
2023-11-21,997.23,1010.39,971.44,992.52,1512538,BHARTIARTL.NS,1501227476.22
2023-11-22,976.17,979.9,962.52,978.33,2101153,BHARTIARTL.NS,2055614575.51
2023-11-23,985.28,1001.69,979.38,979.38,2412706,BHARTIARTL.NS,2362960248.21
2023-11-24,966.75,975.0,944.95,965.78,2564217,BHARTIARTL.NS,2476458100.74
2023-11-27,947.03,950.48,945.04,948.83,3310431,BHARTIARTL.NS,3141027426.49
2023-11-28,929.72,933.73,922.44,922.89,5110273,BHARTIARTL.NS,4716212670.45
2023-11-29,928.16,934.74,922.67,922.67,1816059,BHARTIARTL.NS,1675623597.2
2023-11-30,924.89,938.88,919.56,924.13,2240650,BHARTIARTL.NS,2070662886.6
2023-12-01,923.49,946.47,914.74,914.74,3128866,BHARTIARTL.NS,2862112633.13
2023-12-04,919.99,933.04,917.84,923.74,1829513,BHARTIARTL.NS,1689994710.63
2023-12-05,947.6,955.42,937.8,946.5,2057806,BHARTIARTL.NS,1947705851.89
2023-12-06,956.48,959.07,946.43,958.66,1465826,BHARTIARTL.NS,1405233620.35
2023-12-07,949.41,949.48,942.79,942.91,4114790,BHARTIARTL.NS,3879864246.53
2023-12-08,967.41,970.47,960.94,970.47,5190209,BHARTIARTL.NS,5036966000.69
2023-12-11,957.04,958.18,952.25,957.95,3157899,BHARTIARTL.NS,3025115929.86
2023-12-12,967.77,987.98,963.9,966.69,2252984,BHARTIARTL.NS,2177936852.55
2023-12-13,969.12,977.63,940.02,963.33,5041921,BHARTIARTL.NS,4857014824.41
2023-12-14,1016.9,1024.94,1000.48,1023.17,6708830,BHARTIARTL.NS,6864265140.5
2023-12-15,1012.29,1024.58,1006.96,1006.96,2017432,BHARTIARTL.NS,2031476035.06
2023-12-18,1007.88,1019.03,996.2,996.2,4154891,BHARTIARTL.NS,4139091734.7
2023-12-19,973.88,974.9,970.33,970.33,5789706,BHARTIARTL.NS,5617940223.29
2023-12-20,947.49,973.68,939.5,958.99,3676130,BHARTIARTL.NS,3525384462.7
2023-12-21,938.33,945.25,931.4,944.45,1678946,BHARTIARTL.NS,1585675980.05
2023-12-22,916.01,923.07,910.79,923.07,2063958,BHARTIARTL.NS,1905177991.08
2023-12-25,894.69,898.9,892.69,894.76,4858091,BHARTIARTL.NS,4346801293.54
2023-12-26,894.29,902.51,893.9,902.51,4948043,BHARTIARTL.NS,4465682769.45
2023-12-27,913.68,923.53,905.28,905.28,3221359,BHARTIARTL.NS,2916239975.84
2023-12-28,889.79,903.76,888.3,895.5,3408056,BHARTIARTL.NS,3051912855.53
2023-12-29,915.65,919.71,904.29,908.15,3473822,BHARTIARTL.NS,3154765823.73
2024-01-01,906.5,922.5,889.02,910.47,1544359,BHARTIARTL.NS,1406096726.02
2024-01-02,931.78,946.02,924.27,939.03,4268530,BHARTIARTL.NS,4008278791.07
2024-01-03,936.89,947.43,913.05,938.06,4097614,BHARTIARTL.NS,3843811427.86
2024-01-04,939.89,942.8,937.9,942.8,4553549,BHARTIARTL.NS,4293088275.17
2024-01-05,977.44,979.68,969.4,969.4,1599911,BHARTIARTL.NS,1550947899.08
2024-01-08,1001.03,1007.81,998.72,1002.25,3476353,BHARTIARTL.NS,3484171710.78
2024-01-09,1005.29,1015.05,1001.46,1012.27,4175676,BHARTIARTL.NS,4226916176.77
2024-01-10,1052.78,1061.19,1049.12,1061.19,5964836,BHARTIARTL.NS,6329815617.34
2024-01-11,1070.94,1075.62,1070.6,1075.62,2107374,BHARTIARTL.NS,2266727893.59
2024-01-12,1069.94,1071.7,1057.66,1071.7,2557230,BHARTIARTL.NS,2740576730.28
2024-01-15,1062.14,1074.99,1055.23,1066.4,5376904,BHARTIARTL.NS,5733920530.62
2024-01-16,1086.6,1091.78,1072.45,1084.8,1201017,BHARTIARTL.NS,1302867623.05
